epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9928,1.06174,2.35186,1.40531,0.48118,0.55333,0.51377,0.27957,1.27548,2.10689,1.57645,0.000472906,0.000472906,0.000472906
2,64.2,1.12834,1.83062,1.43617,0.305,0.54117,0.3329,0.14346,1.61742,2.66169,1.90214,0.000902252,0.000902252,0.000902252
3,92.2129,1.14495,1.71517,1.44764,0.53124,0.59453,0.57513,0.29403,1.39101,1.85763,1.70959,0.00128444,0.00128444,0.00128444
4,120.331,1.14204,1.58909,1.44384,0.48612,0.62502,0.56259,0.29911,1.32158,1.76527,1.59313,0.00121679,0.00121679,0.00121679
5,148.071,1.10276,1.5145,1.42642,0.57862,0.67447,0.68411,0.41212,1.23988,1.48296,1.51424,0.00114606,0.00114606,0.00114606
6,175.778,1.06363,1.40827,1.39714,0.58442,0.71674,0.70984,0.42301,1.25505,1.43262,1.52364,0.00107532,0.00107532,0.00107532
7,203.794,1.03505,1.34034,1.37385,0.70286,0.73274,0.78029,0.50517,1.1151,1.26775,1.42518,0.00100459,0.00100459,0.00100459
8,232.008,1.01304,1.28051,1.36293,0.68626,0.75842,0.79984,0.51827,1.13936,1.22508,1.44791,0.000933851,0.000933851,0.000933851
9,259.892,0.96573,1.23934,1.32231,0.72551,0.78699,0.84075,0.55132,1.09045,1.10533,1.35989,0.000863116,0.000863116,0.000863116
10,288.252,0.95019,1.18729,1.32219,0.77663,0.74737,0.83759,0.54315,1.13335,1.10599,1.44711,0.00079238,0.00079238,0.00079238
11,317.119,0.89569,1.05726,1.32158,0.72533,0.80426,0.85993,0.59577,1.03257,1.02154,1.33738,0.000721645,0.000721645,0.000721645
12,344.572,0.84769,0.94229,1.27921,0.81742,0.85885,0.91201,0.66306,0.93153,0.87383,1.24076,0.000650909,0.000650909,0.000650909
13,371.742,0.80447,0.86375,1.23115,0.84539,0.85371,0.92335,0.67837,0.92627,0.84648,1.25614,0.000580174,0.000580174,0.000580174
14,399.059,0.76993,0.8208,1.2107,0.85082,0.85817,0.92541,0.68358,0.8933,0.8264,1.20742,0.000509438,0.000509438,0.000509438
15,426.608,0.74269,0.78474,1.19181,0.87316,0.87185,0.94195,0.71229,0.88058,0.75759,1.2142,0.000438703,0.000438703,0.000438703
16,454.246,0.71476,0.74736,1.16721,0.88672,0.84941,0.93638,0.71174,0.87306,0.76163,1.20167,0.000367967,0.000367967,0.000367967
17,481.446,0.68886,0.70287,1.14191,0.90858,0.88799,0.95447,0.74324,0.84075,0.70129,1.17061,0.000297232,0.000297232,0.000297232
18,508.553,0.66423,0.67347,1.12372,0.90467,0.8853,0.95617,0.75839,0.80094,0.6743,1.14397,0.000226497,0.000226497,0.000226497
19,535.65,0.63848,0.64123,1.10677,0.91572,0.91527,0.96107,0.76894,0.79463,0.63974,1.13666,0.000155761,0.000155761,0.000155761
20,562.88,0.61845,0.61808,1.09713,0.92708,0.91848,0.96689,0.777,0.76823,0.62093,1.11145,8.50255e-05,8.50255e-05,8.50255e-05
